PlayerID,ClubSysID,SeasonID,MatchesPlayed,GamesStarted,MinutesPlayed,Goals,Assists,PenaltyKicksMade,ExpectedGoals,ExpectedAssists,ProgressivePasses,ProgressiveCarries,YellowCards,RedCards,PlayerStatID
37330,185,2019/20,30,22,1967.0,0.0,0.0,0.0,2.0,0.200000002980232,62.0,7.0,11.0,1.0,1.0
36199,185,2021/22,11,6,597.0,0.0,0.0,0.0,0.0,0.400000005960464,13.0,6.0,2.0,0.0,2.0
39252,185,2018/19,12,10,828.0,2.0,0.0,0.0,2.20000004768372,0.600000023841858,20.0,21.0,0.0,0.0,3.0
38961,185,2021/22,2,1,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
38808,185,2018/19,22,12,1124.0,4.0,1.0,0.0,1.89999997615814,1.20000004768372,19.0,28.0,2.0,0.0,5.0
36319,185,2021/22,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
35888,185,2018/19,19,17,1459.0,3.0,2.0,0.0,3.29999995231628,2.09999990463257,41.0,19.0,0.0,0.0,7.0
34284,185,2018/19,29,20,1601.0,5.0,1.0,0.0,6.19999980926514,1.29999995231628,16.0,10.0,4.0,0.0,8.0
37373,185,2021/22,3,0,54.0,0.0,0.0,0.0,0.0,0.200000002980232,0.0,0.0,2.0,0.0,9.0
39620,185,2018/19,29,18,1669.0,1.0,1.0,0.0,1.20000004768372,0.400000005960464,80.0,18.0,9.0,0.0,10.0
34439,185,2018/19,10,9,827.0,0.0,0.0,0.0,0.0,0.200000002980232,17.0,5.0,1.0,0.0,11.0
37876,185,2021/22,2,1,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
34797,185,2018/19,26,19,1760.0,0.0,1.0,0.0,0.600000023841858,0.400000005960464,67.0,24.0,5.0,0.0,13.0
39421,185,2021/22,2,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
35744,185,2018/19,25,24,2188.0,2.0,2.0,0.0,2.5,1.0,48.0,10.0,5.0,0.0,15.0
35387,185,2020/21,38,37,3349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0
39423,185,2018/19,28,27,2340.0,2.0,0.0,0.0,1.39999997615814,1.20000004768372,132.0,12.0,13.0,0.0,17.0
35449,185,2020/21,36,35,3116.0,1.0,1.0,0.0,2.40000009536743,0.899999976158142,66.0,5.0,10.0,0.0,18.0
37330,185,2018/19,35,26,2420.0,1.0,1.0,0.0,2.90000009536743,0.699999988079071,97.0,19.0,6.0,0.0,19.0
36543,185,2020/21,38,35,3111.0,11.0,3.0,2.0,12.8000001907349,3.79999995231628,99.0,25.0,1.0,0.0,20.0
39708,185,2018/19,31,28,2533.0,2.0,2.0,0.0,0.699999988079071,1.5,68.0,35.0,7.0,0.0,21.0
39562,185,2020/21,34,32,2791.0,0.0,1.0,0.0,1.29999995231628,0.600000023841858,50.0,10.0,5.0,1.0,22.0
38797,185,2018/19,33,33,2772.0,0.0,0.0,0.0,0.699999988079071,1.70000004768372,105.0,34.0,10.0,1.0,23.0
39423,185,2020/21,35,33,2690.0,1.0,1.0,0.0,0.699999988079071,1.0,94.0,11.0,12.0,1.0,24.0
37527,185,2018/19,28,24,2122.0,1.0,0.0,0.0,0.0,0.5,89.0,36.0,4.0,0.0,25.0
39509,185,2021/22,1,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
36410,185,2018/19,24,8,767.0,2.0,1.0,0.0,1.39999997615814,1.0,12.0,8.0,3.0,0.0,27.0
38732,185,2020/21,35,30,2611.0,1.0,0.0,0.0,1.20000004768372,0.200000002980232,73.0,22.0,10.0,1.0,28.0
34367,185,2018/19,18,7,735.0,1.0,2.0,0.0,0.800000011920929,0.5,28.0,13.0,1.0,0.0,29.0
36029,185,2021/22,8,4,272.0,0.0,0.0,0.0,0.100000001490116,0.0,9.0,2.0,0.0,0.0,30.0
34010,185,2018/19,5,5,450.0,0.0,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,31.0
36410,185,2021/22,12,4,407.0,1.0,0.0,0.0,1.0,0.200000002980232,3.0,1.0,2.0,0.0,32.0
36216,185,2019/20,1,1,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
39423,185,2021/22,29,16,1444.0,0.0,0.0,0.0,0.5,0.300000011920929,50.0,4.0,4.0,0.0,34.0
38415,185,2019/20,3,0,75.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,35.0
38457,185,2021/22,28,18,1424.0,1.0,0.0,0.0,1.5,0.600000023841858,37.0,20.0,2.0,0.0,36.0
34367,185,2019/20,2,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
39708,185,2021/22,18,16,1347.0,0.0,0.0,0.0,0.600000023841858,0.400000005960464,35.0,21.0,4.0,1.0,38.0
36535,185,2019/20,1,0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39.0
37330,185,2021/22,26,11,1212.0,0.0,2.0,0.0,0.300000011920929,1.10000002384186,79.0,23.0,3.0,0.0,40.0
39161,185,2019/20,38,418,3420.0,34.0,20.0,6.0,39.2999992370605,26.8999996185303,944.0,403.0,111.0,7.0,41.0
38000,185,2021/22,14,12,1073.0,0.0,0.0,0.0,0.300000011920929,0.100000001490116,42.0,17.0,2.0,0.0,42.0
38265,185,2019/20,38,418,3420.0,59.0,36.0,12.0,57.7999992370605,37.0999984741211,1548.0,656.0,87.0,3.0,43.0
37336,185,2021/22,11,2,370.0,1.0,1.0,0.0,0.699999988079071,0.300000011920929,8.0,5.0,0.0,0.0,44.0
33579,185,2018/19,2,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
37639,185,2021/22,12,10,923.0,0.0,0.0,0.0,0.300000011920929,0.200000002980232,10.0,0.0,2.0,0.0,46.0
34741,185,2018/19,3,2,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0
35314,185,2021/22,23,6,762.0,0.0,0.0,0.0,0.5,0.5,11.0,24.0,0.0,0.0,48.0
36182,185,2021/22,14,10,678.0,0.0,1.0,0.0,0.899999976158142,1.70000004768372,10.0,11.0,1.0,0.0,49.0
38383,185,2018/19,13,0,202.0,0.0,0.0,0.0,0.100000001490116,0.100000001490116,7.0,6.0,2.0,0.0,50.0
37318,185,2021/22,15,6,574.0,2.0,0.0,0.0,0.400000005960464,0.100000001490116,4.0,5.0,1.0,0.0,51.0
34960,185,2018/19,9,3,298.0,0.0,0.0,0.0,0.899999976158142,0.200000002980232,9.0,16.0,1.0,0.0,52.0
34010,185,2021/22,6,5,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0
33482,185,2018/19,7,3,372.0,0.0,0.0,0.0,0.300000011920929,0.0,8.0,4.0,3.0,0.0,54.0
39245,185,2021/22,7,4,419.0,0.0,0.0,0.0,0.0,0.100000001490116,7.0,0.0,2.0,0.0,55.0
38736,185,2018/19,5,5,430.0,0.0,0.0,0.0,0.100000001490116,0.100000001490116,6.0,0.0,1.0,0.0,56.0
37824,185,2021/22,24,11,884.0,1.0,1.0,0.0,1.89999997615814,0.300000011920929,6.0,17.0,3.0,0.0,57.0
36449,185,2018/19,36,33,2907.0,9.0,2.0,2.0,8.5,3.59999990463257,76.0,63.0,6.0,0.0,58.0
38797,185,2020/21,31,29,2545.0,1.0,1.0,0.0,1.39999997615814,2.79999995231628,111.0,27.0,5.0,1.0,59.0
36470,185,2018/19,37,34,2982.0,5.0,11.0,0.0,4.59999990463257,9.60000038146973,76.0,119.0,3.0,0.0,60.0
39708,185,2020/21,32,29,2465.0,1.0,1.0,0.0,0.400000005960464,0.600000023841858,59.0,28.0,6.0,0.0,61.0
35387,185,2018/19,35,35,3150.0,0.0,0.0,0.0,0.0,0.100000001490116,0.0,0.0,3.0,0.0,62.0
